index,query,priority,intensity
550,"I plan to dedicate quality time to being with family, sharing meals, conversations, and activities",2,3
152,I need to conduct light cleaning tasks to maintain a pleasant and productive office space,3,1
804,I have to intensive study for the history exam,2,5
536,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
135,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
755,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
289,I plan to binge-watch the latest season of a highly recommended series,3,2
499,"I need to ensure all project documents are up to date, reflecting the latest changes and decisions",2,3
630,"I plan to organize a casual get-together with friends for games, conversation, and fun",2,3
597,I have to now study for the economics exam,0,4
150,"I need to complete necessary administrative forms, a task that takes little time but needs to be done",3,1
837,I have to intensive study for the art exam,2,5
28,I have to attend yoga class,1,2
736,"I have to primarily go shopping for electronics, it will be speed",2,1
696,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
974,I have to watch a documentary,3,1
808,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
200,"I plan to attend a scheduled doctor's appointment for a regular health check-up, cannot be postponed",1,1
746,"I have to last clean the house, it will be speed",3,2
141,"I plan to go hiking to explore nature, get exercise, and enjoy some peaceful time outdoors",2,3
496,"I need to ensure all project documents are up to date, reflecting the latest changes and decisions",2,3
687,"I have to last cook for my family, it will be long",1,4
423,I have to take the thorough GMAT exam,1,3
317,"I need to reach out to team members for updates, collaboration, or to provide support on ongoing tasks",2,2
164,"I need to schedule and work the required part-time hours, ensuring all duties are completed within this time",2,4
662,I plan to binge-watch the latest season of a highly recommended series,3,2
713,I have to organize the closet,2,1
161,"I have to when i can go shopping at multiple stores, it will be research",3,4
417,I have to take the hard MCAT exam,1,3
665,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
702,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
74,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
169,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
195,"I need to prepare for and attend a meeting with the boss to discuss performance, goals, and feedback",1,2
508,"I have to primarily cook for my family, it will be quick",0,2
89,"I plan to give back by volunteering at a local charity or community event, a rewarding way to spend time",2,3
319,"I need to organize activities to enhance team cohesion and morale, important for maintaining a positive work environment",3,2
764,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
55,"I have to primarily visit my grandparents, it will be thorough",1,3
939,I have to vacuum the living room,1,1
673,I plan to sign up for and attend a fitness class to stay active and meet new people,2,3
389,"I have to primarily charge my phone, it will be short",0,1
270,"I have to give a thorough bath with pet-friendly shampoo, not urgent but should be done when possible",3,1
851,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
49,"I have to give a thorough bath with pet-friendly shampoo, not urgent but should be done when possible",3,1
76,"I need to get in touch with IT support to resolve technical issues affecting work, with a sense of urgency",1,2
19,"I plan to organize a get-together with friends to catch up, relax, and enjoy each other's company",2,3
76,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
988,I have to go grocery shopping,2,2
661,I have to clean the house,1,1
167,I have to clean my room,2,1
574,I have to practice guitar,2,2
867,I have to prepare for the job interview,2,1
521,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
377,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
283,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
415,"I have to lastly go shopping for electronics, it will be speed",3,1
329,I have to wash the dishes,3,1
813,I have to apply for jobs,1,1
126,I have to write thank you notes,1,1
376,I need to conduct light cleaning tasks to maintain a pleasant and productive office space,3,1
859,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
411,"I plan to spend time meditating to clear my mind, reduce stress, and improve my mental well-being",2,1
546,I plan to watch a new or favorite movie to relax and unwind after a long day,3,2
828,"I have to now visit my friend, it will be difficult",2,3
12,I have to apply for jobs,3,3
817,I have to take the soon biology exam,1,3
337,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
161,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
350,"I plan to go for a run to stay active and enjoy the outdoors, whether in the neighborhood or a local trail",3,2
968,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
644,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
710,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
304,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
757,I have to clean the windows,3,1
811,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
872,I have to mow the lawn,2,1
39,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
755,I need to conduct light cleaning tasks to maintain a pleasant and productive office space,3,1
950,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
55,"I need to reach out to the manager for urgent discussions, approvals, or to relay important information",1,1
950,"I need to ensure all project documents are up to date, reflecting the latest changes and decisions",2,3
499,"I plan to experience the thrill of skydiving, an adventure I've always wanted to try",2,4
420,I have to soon study for the engineering exam,2,6
3,I have to go grocery shopping,2,2
869,"I plan to spend time meditating to clear my mind, reduce stress, and improve my mental well-being",2,1
741,"I plan to dedicate quality time to being with family, sharing meals, conversations, and activities",2,3
602,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
803,I have to workout at the gym,2,4
473,I have to take the today GMAT exam,0,2
430,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
672,I plan to sign up for and attend a fitness class to stay active and meet new people,2,3
649,"I plan to organize a get-together with friends to catch up, relax, and enjoy each other's company",2,3
938,I have to attend online course,2,2
993,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
220,"I need to reach out to team members for updates, collaboration, or to provide support on ongoing tasks",2,2
46,I have to take the by tomorrow LSAT exam,0,2
150,I have to take the sometime this week art exam,2,2
519,"I plan to attend a scheduled doctor's appointment for a regular health check-up, cannot be postponed",1,1
350,"I need to reach out to the manager for urgent discussions, approvals, or to relay important information",1,1
794,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
574,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
685,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
654,I have to schedule dentist appointment,1,2
97,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
174,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
852,"I plan to dedicate time to training and improving skills in a chosen sport, aiming for personal bests",1,4
169,"I have to required visit my friend, it will be short",2,1
193,I have to important study for the biology exam,2,5
